anio,tipo_solicitud,casos_abiertos,casos_resueltos,casos_atrasados,casos_cerrados,tiempo_promedio,tipo_principal,subtipo,tipo_completo,dias,horas,minutos,segundos,tiempo_promedio_segundos
2025,Acceso,1,1,0,1,00-03-23-53,Acceso,,Acceso,0,3,23,53,12233
2025,Acceso > Acceso remoto por VPN,2,2,0,2,06-06-45-46,Acceso,Acceso remoto por VPN,Acceso > Acceso remoto por VPN,6,6,45,46,542746
2025,Acceso > CARPETA COMPARTIDA,35,35,0,35,01-21-26-04,Acceso,CARPETA COMPARTIDA,Acceso > CARPETA COMPARTIDA,1,21,26,4,163564
2025,Acceso > CORREO ELECTRÓNICO,127,127,0,127,00-06-52-36,Acceso,CORREO ELECTRÓNICO,Acceso > CORREO ELECTRÓNICO,0,6,52,36,24756
2025,Acceso > KACTUS,76,76,0,76,00-05-36-56,Acceso,KACTUS,Acceso > KACTUS,0,5,36,56,20216
2025,Acceso > Recuperación de Contraseña,0,0,0,0,00-00-00-00,Acceso,Recuperación de Contraseña,Acceso > Recuperación de Contraseña,0,0,0,0,0
2025,Acceso > SEVEN,193,192,0,192,00-07-53-14,Acceso,SEVEN,Acceso > SEVEN,0,7,53,14,28394
2025,Acceso > SGI,6,7,0,7,01-21-44-52,Acceso,SGI,Acceso > SGI,1,21,44,52,164692
2025,Acceso > SICAU,663,663,0,663,00-09-07-53,Acceso,SICAU,Acceso > SICAU,0,9,7,53,32873
2025,Acceso > USUARIO DE EQUIPO,93,93,0,93,00-05-57-58,Acceso,USUARIO DE EQUIPO,Acceso > USUARIO DE EQUIPO,0,5,57,58,21478
2025,Acompañamiento,61,62,0,62,00-17-21-52,Acompañamiento,,Acompañamiento,0,17,21,52,62512
2025,Chapas,1,1,0,1,00-00-34-43,Chapas,,Chapas,0,0,34,43,2083
2025,Concepto Técnico,52,52,0,52,01-06-53-32,Concepto Técnico,,Concepto Técnico,1,6,53,32,111212
2025,Correo electrónico,21,21,0,21,00-08-56-19,Correo electrónico,,Correo electrónico,0,8,56,19,32179
2025,Dispositivos,38,38,0,38,01-09-27-56,Dispositivos,,Dispositivos,1,9,27,56,120476
2025,"Dispositivos > Básicos(Teclado, Mouse, Cables)",23,23,0,23,00-14-17-46,Dispositivos,"Básicos(Teclado, Mouse, Cables)","Dispositivos > Básicos(Teclado, Mouse, Cables)",0,14,17,46,51466
2025,Dispositivos > Cámara,6,6,0,6,02-15-21-50,Dispositivos,Cámara,Dispositivos > Cámara,2,15,21,50,228110
2025,Dispositivos > Impresoras,92,92,0,92,00-17-08-07,Dispositivos,Impresoras,Dispositivos > Impresoras,0,17,8,7,61687
2025,Dispositivos > Pantallas,34,34,0,34,00-18-24-35,Dispositivos,Pantallas,Dispositivos > Pantallas,0,18,24,35,66275
2025,Dispositivos > Proyectores,0,0,0,0,00-00-00-00,Dispositivos,Proyectores,Dispositivos > Proyectores,0,0,0,0,0
2025,Mantenimiento,51,51,0,51,01-01-53-31,Mantenimiento,,Mantenimiento,1,1,53,31,93211
2025,Otros > Traslado de Equipos,10,10,0,10,00-15-17-17,Otros,Traslado de Equipos,Otros > Traslado de Equipos,0,15,17,17,55037
2025,Pascual Bravo SAI,0,0,0,0,00-00-00-00,Pascual Bravo SAI,,Pascual Bravo SAI,0,0,0,0,0
2025,Redes,34,34,0,34,00-13-23-27,Redes,,Redes,0,13,23,27,48207
2025,Redes > Punto de red,39,39,0,39,01-00-51-39,Redes,Punto de red,Redes > Punto de red,1,0,51,39,89499
2025,Redes > Sin Internet,38,37,0,37,00-16-34-09,Redes,Sin Internet,Redes > Sin Internet,0,16,34,9,59649
2025,Redes > Telefonia,49,49,0,49,00-14-08-42,Redes,Telefonia,Redes > Telefonia,0,14,8,42,50922
2025,Redes > Wifi,7,7,0,7,01-03-19-46,Redes,Wifi,Redes > Wifi,1,3,19,46,98386
2025,Servidor MOODLE,0,0,0,0,00-00-00-00,Servidor MOODLE,,Servidor MOODLE,0,0,0,0,0
2025,Software,129,129,0,129,01-20-33-31,Software,,Software,1,20,33,31,160411
2025,Software > Antivirus,1,1,0,1,00-06-19-12,Software,Antivirus,Software > Antivirus,0,6,19,12,22752
2025,Software > Egresados,0,0,0,0,00-00-00-00,Software,Egresados,Software > Egresados,0,0,0,0,0
2025,Software > Error de Aplicación,15,15,0,15,01-14-51-54,Software,Error de Aplicación,Software > Error de Aplicación,1,14,51,54,139914
2025,Software > Herramientas de Office,6,6,0,6,01-04-11-23,Software,Herramientas de Office,Software > Herramientas de Office,1,4,11,23,101483
